stock,price down,stock price at N,time N,stock price at M,time M,closing price now
AHT,-8.12918690532236,3.490000009536743,"02/10/2021, 10:00:00",3.0999999046325684,"02/10/2021, 13:09:00",3.2300000190734863
ACB,-7.63281436933105,18.971900939941406,"02/10/2021, 15:31:00",16.54010009765625,"02/10/2021, 10:44:00",18.889999389648438
AI,-7.482730159808846,176.63999938964844,"02/10/2021, 09:49:00",156.65499877929688,"02/10/2021, 10:45:00",161.27999877929688
AHC,-6.326792511562026,2.4800000190734863,"02/10/2021, 09:30:00",2.2200000286102295,"02/10/2021, 13:14:00",2.3657000064849854
AFI,-5.598562393781169,5.090000152587891,"02/10/2021, 13:33:00",4.699999809265137,"02/10/2021, 10:48:00",5.050000190734863
AGS,-4.665192443680699,6.480000019073486,"02/10/2021, 14:56:00",6.099999904632568,"02/10/2021, 10:47:00",6.440000057220459
ACEL,-4.482277182052597,10.720000267028809,"02/10/2021, 15:33:00",10.180000305175781,"02/10/2021, 10:47:00",10.680000305175781
AB,-4.4267399578372855,39.01499938964844,"02/10/2021, 09:30:00",37.0,"02/10/2021, 15:56:00",37.09000015258789
AA,-4.383788882382558,22.1200008392334,"02/10/2021, 09:53:00",21.059600830078125,"02/10/2021, 10:46:00",21.56999969482422
ADS,-4.378865820093881,87.7699966430664,"02/10/2021, 13:08:00",83.63999938964844,"02/10/2021, 09:34:00",85.73999786376953
AAN,-4.328447092901819,20.93000030517578,"02/10/2021, 12:50:00",19.920000076293945,"02/10/2021, 15:49:00",20.1299991607666
AC,-4.17220714908413,36.419498443603516,"02/10/2021, 15:05:00",34.900001525878906,"02/10/2021, 10:46:00",35.849998474121094
AG,-4.123117744463237,17.208900451660156,"02/10/2021, 09:39:00",16.46500015258789,"02/10/2021, 10:50:00",16.920000076293945
ADT,-4.117345229900787,9.71500015258789,"02/10/2021, 10:09:00",9.3100004196167,"02/10/2021, 15:56:00",9.350000381469727
